"Unique ID";"Name";"Nation";"Division";"Status";"Stad Cap";"Division ID"
"421";"Deportivo Cali";"Colombie";"1ère Division";"Professional";"52000";"5260948"
"425";"Medellín";"Colombie";"1ère Division";"Professional";"48700";"5260948"
"429";"Tolima";"Colombie";"1ère Division";"Professional";"26000";"5260948"
"673";"Leicester";"Angleterre";"Sky Bet Championship";"Professional";"32273";"12"
"708";"Sheffield United";"Angleterre";"Sky Bet Championship";"Professional";"33301";"12"
"713";"Southampton";"Angleterre";"Sky Bet Championship";"Professional";"32384";"12"
"1455";"Lech";"Pologne";"PKO BP Ekstraklasa";"Professional";"42837";"129558"
"1678";"Leganés";"Espagne";"2ème Division";"Professional";"14422";"68"
"1905";"FC Dallas";"États-Unis";"MLS";"Professional";"20000";"40"
"102860";"Persepolis";"Iran";"Premier League";"Professional";"84412";"1018789"
"106808";"Ulsan";"Corée du Sud";"K League 1";"Professional";"44102";"136407"
"130343";"Basaksehir";"Turquie";"Super League";"Professional";"17067";"130286"
"136021";"Tijuana";"Mexique";"1ère Division";"Professional";"33333";"135973"
"72014193";"Orlando City";"États-Unis";"MLS";"Professional";"25500";"40"
"2000158666";"Glasgow City";"Écosse";"PLFE";"Professional";"1500";"2000132415"
"2000209845";"SCR Altach";"Autriche";"Première division féminin";"Semi-Professional";"8500";"2000209813"
"2000211764";"Flamengo";"Brésil";"Première division";"Professional";"16000";"2000314935"
